,Name,Categories,City,Latitude,Longitude
76,Desta Ethiopian Kitchen,Ethiopian Restaurant,Atlanta,33.83781093718526,-84.3103191129337
77,Blaze Pizza,Pizza Place,Atlanta,33.882773836378796,-84.4620379389271
78,Truist Park,Baseball Stadium,Atlanta,33.890719,-84.467531
79,REI,Sporting Goods Shop,Atlanta,33.8395683,-84.3211677
80,Chattahoochee River,Park,Powers Ferry Vantage,33.87574221192948,-84.448384979663
81,Bone's,Steakhouse,Atlanta,33.84220647411548,-84.37096900177634
82,Chattahoochee River - East Palisades Area - National Recreation Area,Park,Atlanta,33.87804059044946,-84.44229125976562
83,InterContinental Buckhead Atlanta,Hotel,Atlanta,33.8456001,-84.3677683
84,Tacos La Villa,Taco Place,Smyrna,33.893432443727384,-84.47736663830891
85,Chattahoochee National Recreation Area,Trail,Atlanta,33.87115148914393,-84.45339954051336
86,iFLY Atlanta,Sports Club,Atlanta,33.88486959801755,-84.47114227059991
87,Zoës Kitchen,Mediterranean Restaurant,Atlanta,33.881068895882635,-84.46313378147747
88,Atlanta History Center,History Museum,Atlanta,33.84217054030167,-84.3860900250457
89,Fogo de Chão Brazilian Steakhouse,Brazilian Restaurant,Atlanta,33.84061264142426,-84.36937236142728
90,The Battery Atlanta,Shopping Plaza,Atlanta,33.88855785692528,-84.47011285677107
91,Umi Sushi,Sushi Restaurant,Atlanta,33.83960170353726,-84.38198905777692
92,Trader Joe's,Grocery Store,Atlanta,33.84093326253034,-84.37483913388071
93,The St. Regis Atlanta,Hotel,Atlanta,33.839928,-84.38255939999999
94,Marietta Square,Plaza,Marietta,33.95276729185118,-84.5496118068695
95,Whole Foods Market,Grocery Store,Atlanta,33.84081268544798,-84.38153543219023
96,Total Wine & More,Wine Shop,Kennesaw,34.0075861,-84.5739221
97,Van Michael Salon,Salon / Barbershop,Atlanta,33.84053749793335,-84.38082322882178
98,Flywheel Sports - Buckhead,Gym / Fitness Center,Atlanta,33.8385583,-84.3794777
99,Canoe,American Restaurant,Atlanta,33.859576714841154,-84.45536186460082
100,Your Dekalb Farmers Market,Farmers Market,Decatur,33.786804303442594,-84.27000271834832
101,Three Taverns Craft Brewery,Brewery,Decatur,33.77274746100863,-84.2852973301235
102,Kimball House,Gastropub,Decatur,33.77165258143892,-84.29238356104827
103,Victory Sandwich Bar,Sandwich Place,Decatur,33.774202975028224,-84.29505469906213
104,Fellini's Pizza,Pizza Place,Decatur,33.77332952866682,-84.28985903337752
105,Brick Store Pub,Gastropub,Decatur,33.77515863157524,-84.29569190735194
106,The Iberian Pig,Spanish Restaurant,Decatur,33.77438,-84.296
107,Stone Mountain Park - 5-mile Loop,Other Great Outdoors,Stone Mountain,33.81071898356089,-84.16250684353484
108,Butter & Cream,Ice Cream Shop,Decatur,33.7750656342383,-84.29500194003148
109,East Lake Golf Club,Golf Course,Atlanta,33.74386177399639,-84.3026876449585
110,Dancing Goats Coffee Bar,Coffee Shop,Decatur,33.775821646212044,-84.30316913836988
111,Stone Mountain Walk Up Trail (Base),Trail,Stone Mountain,33.81065401107804,-84.1616141796112
112,Decatur Yoga & Pilates,Yoga Studio,Decatur,33.77588259834881,-84.30374866355129
113,Ale Yeah! Craft Beer Market,Beer Store,Decatur,33.765585342214344,-84.30831871439695
114,The Pinewood,American Restaurant,Decatur,33.77548088894041,-84.29995835388048
115,Community Q BBQ,BBQ Joint,Decatur,33.79254337071794,-84.30525837463979
116,Sun in My Belly,Breakfast Spot,Atlanta,33.764165336330485,-84.31653119268329
117,Michael C. Carlos Museum of Emory University,Museum,Atlanta,33.79052173638964,-84.3240881424991
118,Mason Mill Park,Park,Decatur,33.80777670714474,-84.30681028706776
119,The General Muir,Deli / Bodega,Atlanta,33.80131556313392,-84.32736015299147
120,NCG Cinema Stone Mountain,Movie Theater,Stone Mountain,33.824332271900815,-84.12138513773971
121,Candler Park,Park,Atlanta,33.76579443261052,-84.33856508522841
122,Fox Bros. Bar-B-Q,BBQ Joint,Atlanta,33.76089344652857,-84.34741290143242
123,The Porter Beer Bar,Beer Bar,Atlanta,33.76518298569592,-84.34965203243173
124,Wrecking Bar Brewpub,Brewery,Atlanta,33.76213269301411,-84.34970110048938
125,Callanwolde Fine Arts Center,Art Gallery,Atlanta,33.78187466445364,-84.34517552351906
126,Victory Sandwich Bar,Sandwich Place,Atlanta,33.76410324085391,-84.35778093816978
127,Savage Pizza,Pizza Place,Atlanta,33.767304931891445,-84.34910614160398
128,Criminal Records,Record Shop,Atlanta,33.76514163165886,-84.34979110960337
129,Jeni's Splendid Ice Creams,Ice Cream Shop,Atlanta,33.75693851095908,-84.36401051540268
130,Folk Art Restaurant,American Restaurant,Atlanta,33.7666626,-84.3530097
131,Atlanta BeltLine Corridor under Freedom Pkwy,Trail,Atlanta,33.764226278306246,-84.35959870297054
132,Atlanta BeltLine - Midtown,Trail,Atlanta,33.7752680174787,-84.36518963203
133,Krog Street Market,Market,Atlanta,33.75688730632316,-84.36397272113516
134,Murphy's,American Restaurant,Atlanta,33.78232735951359,-84.3546043837499
135,Atlanta BeltLine Corridor at Irwin St.,Trail,Atlanta,33.757538,-84.364893
136,King Of Pops,Dessert Shop,Atlanta,33.76394680389022,-84.3586937194679
137,Ponce City Market,Market,Atlanta,33.77247843683812,-84.36583134848193
138,Hop City,Beer Store,Atlanta,33.75690720154438,-84.36394283775098
139,Morelli's Gourmet Ice Cream,Ice Cream Shop,Atlanta,33.73390933241772,-84.34977390043049
140,Atlanta BeltLine Corridor over North Ave,Trail,Atlanta,33.77113092564671,-84.36393869262683
141,Alon's Bakery & Market,Bakery,Atlanta,33.79257055214756,-84.35251431617674
142,Julianna's Coffee & Crepes,Dessert Shop,Atlanta,33.758084289631064,-84.3623382773455
143,Chick-fil-A,Fast Food Restaurant,Stone Mountain,33.8250129,-84.1054535
144,Home Grown,Southern / Soul Food Restaurant,Atlanta,33.74674699478201,-84.35594830537276
145,bartaco,Mexican Restaurant,Atlanta,33.7624992,-84.3585815
146,Atlanta BeltLine Corridor over Ralph McGill,Trail,Atlanta,33.767410876635395,-84.36090230941772
147,La Tavola Trattoria,Italian Restaurant,Atlanta,33.78237367769458,-84.35478663728944
148,Historic Fourth Ward Park,Park,Atlanta,33.768890636040695,-84.36489187322505
149,Lloyd’s Bar And Grill,Bar,Atlanta,33.75492003666916,-84.35765009300509
150,Atlanta BeltLine Eastside Trail,Trail,Atlanta,33.78134670247777,-84.36812606938948
151,Freedom Park Trail at the Atlanta BeltLine,Trail,Atlanta,33.764124782578016,-84.35937792997717
152,Fellini's Pizza,Pizza Place,Atlanta,33.77365351625769,-84.35759556524337
153,Historic Fourth Ward Skatepark,Skate Park,Atlanta,33.76524355909233,-84.36058044433594
154,3 Parks Wine Shop,Wine Shop,Atlanta,33.74116043321121,-84.35825436420652
155,Atlanta BeltLine Corridor over Ponce de Leon,Trail,Atlanta,33.773347,-84.36458
156,Atlanta BeltLine Corridor under Highland Ave.,Trail,Atlanta,33.761363656237364,-84.36167478561401
157,Dr Martin Luther King Jr National Historic Site,Historic Site,Atlanta,33.756366678604145,-84.37321315235009
158,Tiny Lou’s,French Restaurant,Atlanta,33.77362877491022,-84.3614814437252
159,Piedmont Park,Park,Atlanta,33.78370748652825,-84.37338767616714
160,Melrose & McQueen Salon,Salon / Barbershop,Atlanta,33.763688482372,-84.35878337252012
161,Superica,Mexican Restaurant,Atlanta,33.757002824465374,-84.36429914497475
162,Atlanta BeltLine Corridor under Edgewood Ave.,Trail,Atlanta,33.75429910625064,-84.36560153961182
163,Rice Thai Authentic Thai & Sushi Bar,Thai Restaurant,Lithonia,33.69324275934683,-84.09464348976117
164,Jackson Street Bridge,Bridge,Atlanta,33.76018404175979,-84.37430530786514
165,Trader Joe's,Grocery Store,Atlanta,33.77962484449945,-84.36798914378377
166,Virtue and Vice,Piercing Parlor,Atlanta,33.81691919781338,-84.35210459191093
167,Whole Foods Market,Grocery Store,Atlanta,33.7750564038243,-84.36608201998715
168,Atlanta Botanical Garden,Botanical Garden,Atlanta,33.79011152636887,-84.3730232287856
169,Oakland Cemetery,Cemetery,Atlanta,33.74776407953224,-84.37325421682411
170,Grant Park,Park,Atlanta,33.73849130458109,-84.37256124999318
171,Aviva by Kameel,Mediterranean Restaurant,Atlanta,33.7605969735783,-84.38654827418792
172,The Fox Theatre,Theater,Atlanta,33.77252634458606,-84.38591102695072
